67
ID,12,0
ID,10,0
,,0,-1
ID,11,0
,,0,-1
ID,12,1
;,0,-1
inject,0,-1
ID,10,0
;,0,-1
inject,0,-1
ID,11,0
;,0,-1
inject,0,-1
ID,12,1
;,0,-1
oare,0,-1
(,0,-1
ID,10,0
>=,0,-1
ID,11,0
si,0,-1
ID,10,0
>=,0,-1
ID,12,1
),0,-1
{,0,-1
eject,0,-1
(,0,-1
ID,10,0
),0,-1
;,0,-1
},0,-1
oare,0,-1
(,0,-1
ID,11,0
>,0,-1
ID,10,0
si,0,-1
ID,11,0
>,0,-1
ID,12,1
),0,-1
{,0,-1
eject,0,-1
(,0,-1
ID,11,0
),0,-1
;,0,-1
},0,-1
oare,0,-1
(,0,-1
ID,12,1
>,0,-1
ID,10,0
si,0,-1
ID,12,1
>,0,-1
ID,11,0
),0,-1
{,0,-1
eject,0,-1
(,0,-1
ID,12,1
),0,-1
;,0,-1
},0,-1
